FR	267
FR	146288
CH	267
NL	9801
NL	9884
NL	14258
NL	1293
NL	13353
NL	36629
NL	14233
NL	44794
NL	49759
NL	9804
NL	14784
NL	14780
NL	76127
NL	18449
NL	82446
NL	9939
NL	25634
NL	46159
NL	47627
NL	424
NL	73738
NL	8471
NL	36524
NL	127733
NL	18634
NL	112095
NL	2984
NL	115334
NL	18637
NL	15468
NL	15456
NL	106769
NL	8480
NL	27329
NL	89343
NL	1106
NL	42525
NL	35123
NL	1107
NL	78570
NL	23212
NL	64193
NL	29301
NL	21687
NL	32680
NL	2234
NL	101026
NL	27324
NL	46339
NL	19464
NL	121624
NL	1093
NL	157347
NL	27322
NL	270
NL	131188
NL	29792
NL	14027
NL	121639
NL	87604
NL	2230
NL	64192
NL	1115
NL	7689
NL	101030
NL	29224
NL	19466
NL	1105
NL	32675
NL	127801
NL	64727
NL	607
NL	63
NL	900
NL	98991
NL	268
NL	32676
NL	4599
NL	32202
NL	3707
NL	3691
NL	3736
NL	38851
NL	38951
NL	3676
NL	8086
NL	132103
NL	193
NL	18793
NL	106261
NL	9662
NL	162
NL	3287
NL	625
NL	14969
NL	139835
NL	124709
NL	3294
NL	28179
NL	12065
NL	294
NL	115539
NL	2288
NL	41584
NL	1508
NL	35064
NL	196
NL	58974
NL	30307
NL	38577
NL	105151
NL	127897
NL	100800
NL	147176
NL	37209
NL	11046
NL	27713
NL	21186
NL	112823
NL	11988
NL	15110
NL	100812
NL	27717
NL	112845
NL	8119
NL	8241
NL	32443
NL	26528
NL	47871
NL	47867
NL	47879
NL	82897
NL	11838
NL	13264
NL	47945
NL	47949
NL	48079
NL	22490
NL	12157
NL	32442
NL	107035
NL	36872
NL	33914
NL	48070
NL	17351
NL	9355
NL	9394
NL	108267
NL	77355
NL	12395
NL	15049
NL	42428
NL	127909
NL	3103
NL	111994
NL	111806
NL	111925
NL	25850
NL	3116
NL	30471
NL	111848
NL	30489
NL	111837
NL	111827
NL	26500
NL	26672
NL	30517
NL	45805
NL	8440
NL	19859
NL	20710
NL	25849
NL	30329
NL	20626
NL	3192
NL	114030
NL	2032
NL	32274
NL	25822
NL	34935
NL	9431
NL	11262
NL	123099
NL	9435
NL	11874
NL	11748
NL	11815
NL	124418
NL	9815
NL	62458
NL	11890
NL	9715
NL	9816
NL	12104
NL	12121
NL	37008
NL	9817
NL	12136
NL	15770
NL	3029
NL	13154
NL	12109
NL	80891
NL	3038
NL	3051
NL	105163
NL	128240
NL	315
NL	97120
NL	312
NL	37532
NL	19355
NL	21583
NL	30617
NL	7491
NL	7390
NL	37082
NL	42680
NL	550
